author,title,years_count
Блок А.А.,Двенадцать,1
Пушкин А.С.,Борис Годунов,1
Пушкин А.С.,Дубровский,1
Пушкин А.С.,Евгений Онегин,1
Пушкин А.С.,"К Чаадаеву (Любви, надежды, гордой славы…)",1
Пушкин А.С.,Капитанская дочка,1
Пушкин А.С.,Медный всадник,1
Пушкин А.С.,Осень,1
Пушкин А.С.,Повести Белкина,1
Пушкин А.С.,Полтава,1
Радищев А.Н.,Путешествие из Петербурга в Москву,1
Рылеев К.Ф.,Гражданин,1
Салтыков-Щедрин М.Е.,Господа Головлевы,1
Салтыков-Щедрин М.Е.,Премудрый пискарь,1
Серафимович А.С.,Железный поток,1
Толстой Л.Н.,Анна Каренина,1
Толстой Л.Н.,Война и мир,1
Толстой Л.Н.,Воскресение,1
Толстой Л.Н.,Детство. Отрочество. Юность,1
Тургенев И.С.,Записки охотника,1
Тургенев И.С.,Отцы и дети,1
Фадеев А.А.,Разгром,1
Фонвизин Д.И.,Недоросль,1
Чернышевский Н.Г.,Что делать?,1
Чехов А.П.,Вишневый сад,1
Шекспир У.,Гамлет,1
Шолохов М.А.,Поднятая целина,1
Пушкин А.С.,Деревня,1
Писарев Д.И.,Базаров,1
Герцен А.И.,Былое и думы,1
Островский А.Н.,Гроза,1
Герцен А.И.,что-то,1
Гете И.В.,Фауст,1
Гладков Ф.В.,Цемент,1
Гоголь Н.В.,Мертвые души,1
Гоголь Н.В.,Шинель,1
Горький М.,Дело Артамоновых,1
Горький М.,Егор Булычев и другие,1
Горький М.,Мать,1
Горький М.,На дне,1
Горький М.,Песня о буревестнике,1
Горький М.,Песня о соколе,1
Грибоедов А.С.,Горе от ума,1
Державин Г.Р.,Памятник,1
Добролюбов Н.А.,Луч света в темном царстве,1
Жуковский В.А.,Море,1
Жуковский В.А.,Светлана,1
Куприн А.И.,что-то,1
Лермонтов М.Ю.,Герой нашего времени,1
Ломоносов М.В.,Ода на день восшествия на престол императрицы Елизаветы Петровны,1
Маяковский В.В.,Владимир Ильич Ленин,1
Маяковский В.В.,Левый марш,1
Маяковский В.В.,О дряни,1
Маяковский В.В.,Прозаседавшиеся,1
Мольер Ж.Б.,Мещанин во дворянстве,1
Некрасов Н.А.,Кому на Руси жить хорошо,1
народ,Слово о полку Игореве,1
